year,name,affiliation,country,role,Accomodation Chair,Exhibition Chair,Finance Chair,Local Arrangement Chair,Local Organization Chair,Local Organization Committee,Organization Chair,PacificVAST Workshop Chair,Paper Chair,Poster Chair,Program Chair,Program Committee,Publication Chair,Publicity Chair,Registration Chair,Sponsorship Chair,Steering Committee,Student Volunteer Chair,Symposium Chair,Visual Storytelling Contest Chair,Visualization Notes Chair,Visualization Notes Committee,Webmaster & Design Chair
2011,Dorothea Wagner,Karlsruhe Institute of Technology,DE,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2009,Eduard Groller,Vienna University of Technology,AT,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2010,Emden Gansner,AT&T Research,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2012,Emilio Di Giacomo,University of Perugia,IT,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2008,Enhua Wu,University of Macau,MO,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2009,Enhua Wu,University of Macao,MO,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2010,Eugene Zhang,Oregon State University,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2011,Eugene Zhang,Oregon State University,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2012,Eugene Zhang,Oregon State University,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2015,Eugene Zhang,Oregon State University,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2016,Eugene Zhang,Oregon State University,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2017,Eugene Zhang,Oregon State University,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2017,Fabian  Beck ,University of Stuttgart,DE,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2015,Fabian Beck,University of Stuttgart,DE,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2016,Fabian Beck,University of Stuttgart,DE,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2014,Falk Schreiber,Martin Luther University Halle-Wittenberg,DE,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2014,Falk Schreiber,Martin Luther University Halle-Wittenberg,DE,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2015,Falk Schreiber,Martin Luther University Halle-Wittenberg,DE,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2015,Falk Schreiber,Martin Luther University Halle-Wittenberg,DE,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2017,Falk Schreiber,Monash University,AU,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2014,Fan Zhang,Ohio State University,US,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2015,Filip Sadlo,Heidelberg University,DE,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2016,Filip Sadlo,University of Stuttgart,DE,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2017,Filip Sadlo,University of Stuttgart,DE,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2010,Frank van Ham,IBM T.J. Watson Research Center,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2011,Frank van Ham,ILOG,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2012,Frank van Ham,ILOG,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2014,Gary Tam,Swansea University,GB,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2011,Gennady Andrienko,Fraunhofer Institute for Intelligent Analysis and Informations Systems,DE,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2012,Gennady Andrienko,Fraunhofer Institute for Intelligent Analysis and Informations Systems,DE,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2015,Gennady Andrienko,Fraunhofer Institute for Intelligent Analysis and Informations Systems,DE,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2016,Gennady Andrienko,Fraunhofer Institute for Intelligent Analysis and Informations Systems,DE,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2013,Gennedy Andrienko,Fraunhofer Institute for Intelligent Analysis and Informations Systems,DE,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2008,Gerik Scheuermann,University of Leipzig,DE,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2009,Gerik Scheuermann,University of Leipzig,DE,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2010,Gerik Scheuermann,University of Leipzig,DE,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2015,Gerik Scheuermann,University of Leipzig,DE,Paper Chair,,,,,,,,,1,,,,,,,,,,,,,,
2016,Gerik Scheuermann,University of Leipzig,DE,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2017,Gerik Scheuermann,University of Leipzig,DE,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2011,Giuseppe Di Battista,Roma Tre University,IT,Program Chair,,,,,,,,,,,1,,,,,,,,,,,,
2014,Giuseppe Di Battista,Roma Tre University,IT,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2014,Giuseppe Liotta,University of Perugia,IT,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2015,Giuseppe Liotta,University of Perugia,IT,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2016,Giuseppe Liotta,University of Perugia,IT,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2017,GuHyun Han,Seoul National University,KR,Publicity Chair,,,,,,,,,,,,,,1,,,,,,,,,
2014,Guihua Shan,Computer Network Information Center CAS,CN,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2015,Guihua Shan,Computer Network Information Center CAS,CN,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2016,Guihua Shan,University of Chinese Academy of Sciences,CN,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2017,Guodao Sun,Zhejiang University of Technology,CN,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2015,Guoning Chen,University of Houston,US,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2016,Guoning Chen,University of Houston,US,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2017,Guoning Chen,University of Houston,US,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2009,Guoping Wang,Peking University,CN,Publicity Chair,,,,,,,,,,,,,,1,,,,,,,,,
2015,Hai Lin,Zhejiang University,CN,Sponsorship Chair,,,,,,,,,,,,,,,,1,,,,,,,
2011,Hamish Carr,University of Leeds,GB,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2012,Hamish Carr,University of Leeds,GB,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2013,Hamish Carr,University of Leeds,GB,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2015,Hamish Carr,University of Leeds,GB,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2016,Hamish Carr,University of Leeds,GB,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
